,Account,Network,Text,Date,Positive,Neutral,Negative,Compound
224,@CBS,CBS,Have you heard? Tonight's the first Live Show of #BB20. Grab a seat and get ready to watch the action unfold on CBS… https://t.co/0YgRV1HLGd,Thu Jul 05 21:12:17 +0000 2018,0.102,0.898,0.0,0.3612
225,@CBS,CBS,RT @TKOCBS: Prepare to have some major FUN. #TKO starts NOW! https://t.co/i2ftL6GCj5,Thu Jul 12 01:01:24 +0000 2018,0.282,0.718,0.0,0.6514
226,@CBS,CBS,RT @StrangeAngel: Mastermind or maniac? Explore the brilliant mind of Jack Parsons in #StrangeAngel. Now streaming on CBS All Access: https…,Thu Jun 14 16:19:32 +0000 2018,0.147,0.734,0.12,0.1779
227,@CBS,CBS,"In case you missed it, watch the entire #TonyAwards now: https://t.co/Bm0yNV3Ff3 https://t.co/h3YnFkmSQJ",Thu Jun 14 17:30:00 +0000 2018,0.0,0.833,0.167,-0.296
228,@CBS,CBS,"Lights, camera, selfie! 📸 Could there be a better photo for #NationalSelfieDay? https://t.co/14Ewx64yKC",Thu Jun 21 23:29:50 +0000 2018,0.197,0.803,0.0,0.4926
229,@CBS,CBS,💥🌎🔬 #WorldEmojiDay,Tue Jul 17 17:22:26 +0000 2018,0.0,1.0,0.0,0.0
230,@CBS,CBS,Celebrate #WorldEmojiDay with a fun game! Use the emoji sequences below to guess the CBS show. 👇 Tweet your respons… https://t.co/LCqvuVtkXK,Tue Jul 17 17:22:26 +0000 2018,0.258,0.742,0.0,0.807
231,@CBS,CBS,🏝🔥💵 #WorldEmojiDay,Tue Jul 17 17:22:27 +0000 2018,0.0,1.0,0.0,0.0
232,@CBS,CBS,💄👠📷 #WorldEmojiDay,Tue Jul 17 17:22:27 +0000 2018,0.0,1.0,0.0,0.0
233,@CBS,CBS,🏠📹📹📹 #WorldEmojiDay,Tue Jul 17 17:22:27 +0000 2018,0.0,1.0,0.0,0.0
234,@CBS,CBS,👶💥🌎🔬 #WorldEmojiDay,Tue Jul 17 17:22:27 +0000 2018,0.0,1.0,0.0,0.0
235,@CBS,CBS,🐮⚖️ #WorldEmojiDay,Tue Jul 17 17:22:27 +0000 2018,0.0,1.0,0.0,0.0
236,@CBS,CBS,💙👮🍽 #WorldEmojiDay,Tue Jul 17 17:22:28 +0000 2018,0.0,1.0,0.0,0.0
237,@CBS,CBS,🌎☄️ #WorldEmojiDay,Tue Jul 17 17:22:28 +0000 2018,0.0,1.0,0.0,0.0
238,@CBS,CBS,🏷💰🎰 #WorldEmojiDay,Tue Jul 17 17:22:28 +0000 2018,0.0,1.0,0.0,0.0
239,@CBS,CBS,👶😴🚫 #WorldEmojiDay,Tue Jul 17 17:22:28 +0000 2018,0.0,1.0,0.0,0.0
240,@CBS,CBS,🤝💼💰 #WorldEmojiDay,Tue Jul 17 17:22:28 +0000 2018,0.0,1.0,0.0,0.0
241,@CBS,CBS,💣📎 #WorldEmojiDay,Tue Jul 17 17:22:28 +0000 2018,0.0,1.0,0.0,0.0
242,@CBS,CBS,🏄🌴🚔 #WorldEmojiDay,Tue Jul 17 17:22:29 +0000 2018,0.0,1.0,0.0,0.0
243,@CBS,CBS,⚓️🦅🇺🇸 #WorldEmojiDay,Tue Jul 17 17:22:29 +0000 2018,0.0,1.0,0.0,0.0
244,@CBS,CBS,🕵️🕵️‍♀️ #WorldEmojiDay,Tue Jul 17 17:22:29 +0000 2018,0.0,1.0,0.0,0.0
245,@CBS,CBS,👩‍💼💼🇺🇸 #WorldEmojiDay,Tue Jul 17 17:22:29 +0000 2018,0.0,1.0,0.0,0.0
246,@CBS,CBS,👨📝✔️ #WorldEmojiDay,Tue Jul 17 17:22:29 +0000 2018,0.0,1.0,0.0,0.0
247,@CBS,CBS,🤰👩‍👧🚫🍸 #WorldEmojiDay,Tue Jul 17 17:55:25 +0000 2018,0.0,1.0,0.0,0.0
248,@CBS,CBS,"Mark your calendars because you won’t want to miss this! Former Secretaries of State @HillaryClinton, @Madeleine, a… https://t.co/JKDPp97OqN",Tue Jul 24 18:54:14 +0000 2018,0.068,0.834,0.099,-0.1511
249,@BBCWorld,BBC News (World),Backpackers attacked with shovel in Australian bush https://t.co/ZuioxsSWKf,Tue Jul 31 03:16:41 +0000 2018,0.0,0.7,0.3,-0.4588
250,@BBCWorld,BBC News (World),Lombok earthquake: 543 hikers evacuated from Mt Rinjani https://t.co/osNkO31id8,Tue Jul 31 03:37:41 +0000 2018,0.0,1.0,0.0,0.0
251,@BBCWorld,BBC News (World),False widow spider 'devours' native lizard https://t.co/JRGZdGVoCd,Tue Jul 31 05:49:49 +0000 2018,0.0,1.0,0.0,0.0
252,@BBCWorld,BBC News (World),Does the death penalty deter rape in India? https://t.co/x214kpsRsn,Tue Jul 31 07:02:10 +0000 2018,0.0,0.341,0.659,-0.9118
253,@BBCWorld,BBC News (World),"RT @BBCNewsbeat: Fans have praised Chrissy Teigan for showing her 'mom bod' 🙌
https://t.co/H21BRMFeYr",Tue Jul 31 07:14:46 +0000 2018,0.186,0.814,0.0,0.4939
254,@BBCWorld,BBC News (World),India telecom chief denies losing dare to hackers https://t.co/VjFUWULMcW,Tue Jul 31 07:47:23 +0000 2018,0.0,0.565,0.435,-0.6597
255,@BBCWorld,BBC News (World),New Zealand sexist road sign changed by seven-year-old girl https://t.co/ooHEslKjhD,Tue Jul 31 07:52:33 +0000 2018,0.0,1.0,0.0,0.0
256,@BBCWorld,BBC News (World),Zimbabwe election: Mnangagwa and Chamisa both upbeat https://t.co/42xf894DGv,Tue Jul 31 08:57:57 +0000 2018,0.0,1.0,0.0,0.0
257,@BBCWorld,BBC News (World),"Miss Helen, shark stolen in a pram, recovering in US aquarium https://t.co/jPxIarATwO",Tue Jul 31 09:21:52 +0000 2018,0.0,0.652,0.348,-0.5859
258,@BBCWorld,BBC News (World),"The battle to stop former Islamic State fighters getting to Europe 

https://t.co/FFeNmOa2ne https://t.co/pUFcKzoKaS",Tue Jul 31 10:11:57 +0000 2018,0.0,0.625,0.375,-0.6124
259,@BBCWorld,BBC News (World),Southern Agricultural Show: 'Special' bull named supreme champion https://t.co/3GyOfgeXkj,Tue Jul 31 10:21:49 +0000 2018,0.517,0.483,0.0,0.8176
260,@BBCWorld,BBC News (World),Dareen Tatour: Israeli Arab poet sentenced for incitement https://t.co/6GLhP5wyDF,Tue Jul 31 10:42:08 +0000 2018,0.0,0.879,0.121,-0.0258
261,@BBCWorld,BBC News (World),Colombia shoot-out kills eight in area hit by rebel feud https://t.co/IgOq5ouXWL,Tue Jul 31 10:52:03 +0000 2018,0.0,0.516,0.484,-0.7579
262,@BBCWorld,BBC News (World),Kenya's Tourism Minister sorry for saying 'go to hell' https://t.co/rj3SDevE6f,Tue Jul 31 11:24:12 +0000 2018,0.0,0.576,0.424,-0.7096
263,@BBCWorld,BBC News (World),Stranded Russian climber rescued after six-day ordeal in Pakistan https://t.co/oi8qbSW2yj,Tue Jul 31 12:01:26 +0000 2018,0.237,0.763,0.0,0.4215
264,@BBCWorld,BBC News (World),Italian athlete Osakue fears climate of violence after attack https://t.co/QBjyCyfn2V,Tue Jul 31 12:08:32 +0000 2018,0.0,0.412,0.588,-0.875
